source,text,researcher,year,aggressive,hate
instagram,Parabéns meu presidente!👏👏👏👏👏,vargas et al,2021,0,0
twitter,qual a melhor música nacional do ano até agora e por que pilantra?? eu apenas não consigo parar de ouvir esta bendita música! viciei até a criança (perdão sindicato das mães perfeitas),oliveira et al,2023,0,0
twitter,@user @user nem o pt quer...,oliveira et al,2023,0,0
twitter,O feminismo do “faça acontecer”* e outras variantes do feminismo empresarial falharam para a esmagadora maioria... ,fortuna et al,2019,0,0
twitter,@user já dei que você vai voltar arrastada pra casa kkk,leite et al,2020,0,0
twitter,pq véi fica falando sozinho na rua? eu vou ficar assim,oliveira et al,2023,0,0
twitter,"Querido Papai Noel, já sei oq quero de Natal ",fortuna et al,2019,0,0
twitter,@user @user se eu não puder sair na rua com minha bruxinha do cruzeiro de duzentos reais tá fodido então,leite et al,2020,1,0
twitter,terça feira dia mundial do ódio,oliveira et al,2023,0,0
instagram,"Seria um SONHO , se eu pudesse pegar suas mãozinhas , as mãozinhas do coleguinha , e fizesse vocês pedirem desculpas um ao outro , darem um abraço e voltarem a brincar no pátio...",vargas et al,2021,0,0
twitter,"olha como q família pode machucar a gente né mds
ninguém tá imune",leite et al,2020,0,0
twitter,"O #PNR apresenta-se pela primeira vez em #SantaMariaFeira em autárquicas.
Força #AnselmoOliveira
@user _ ",fortuna et al,2019,0,0
twitter,"eu sou o total oposto da música ""stupid with love"" de 'mean girls' pqp

smart with luv
stupid with math",leite et al,2020,0,0
twitter,chega logo festas juninas,oliveira et al,2023,0,0
twitter,@user a mídia querendo dar o serviço para a fuga do hacker.,leite et al,2020,0,0
twitter,o auge foi eu chorando no final da festa pq tinha duas sapatao na minha frente se beijando e zoando uma com a outra nao pude evitar só sentir,leite et al,2020,1,1
instagram,O Brasil é maior do que os que querem destruir-los. Brasil acima tudo e Deus acima de todos sempre.,vargas et al,2021,0,0
twitter,"@user Alguém tem que botar o pau na mesa. 
Não é possível que os absurdos praticados por Toffoli e Moraes fiquem impunes. 
Eles passaram de todos os limites.",leite et al,2020,1,0
instagram,"Argentina é top, fui lá e gostei muito, gostaria de morar perto da fronteira do Brasil, na Argentina",vargas et al,2021,0,0
instagram,Janaína porque vice quer calar o filho do presidente. Não é democracia?,vargas et al,2021,0,0
twitter,"@user infelizmente, não.",oliveira et al,2023,0,0
twitter,@user país da inversão de valores ,fortuna et al,2019,0,0
twitter,@user @user cadê a imagem???,oliveira et al,2023,0,0
twitter,RT @user Concorda com a saída de Portugal da União Europeia ,fortuna et al,2019,0,0
twitter,@user cuidado. na próxima a culpa será do mercúrio por ser vermelho!,leite et al,2020,0,0
twitter,aí não tô bem não espero q eu melhore até 15h,oliveira et al,2023,0,0
twitter,"Sério eu não estou provocando você mais você deixou de ter uma pessoa que é muito boa como pessoa e tudo mais ele… — eu sei disso. Mas na vida nem tudo q queremos, conseguimos, mesmo tentando tanto e se não deu certo, paciência. M… ",leite et al,2020,0,0
twitter,"@user Um monte de contratação q o Flamengo fez não teve um alvoroço desse, ai chama o Daniel Alves um cara só como se fosse mudar o time inteiro",leite et al,2020,0,0
twitter,Estava mechendo no baú do meu avô falecido e achei essa foto aqui ,fortuna et al,2019,0,0
instagram,🇧🇷🇧🇷 bonequinha da mídia..,vargas et al,2021,1,0
twitter,toda vez o povo fica resgatando coisa do passado q nem tem lógica... qm aguenta?????,oliveira et al,2023,0,0
twitter,e nada da #cpmi08dejaneiro ??????? estão esperando o que?,oliveira et al,2023,0,0
twitter,só consigo pensar em como essa mina é linda puta que pariu,leite et al,2020,0,0
twitter,"@user @user Eu sou contra a violência. 
Mas ele bem que merece umas porradas na cara.
E de preferência da mulherada que ele classifica como PUTA.",leite et al,2020,1,0
twitter,bolsonaro na polícia federal e deltan em cassação no tse link via @user,oliveira et al,2023,0,0
twitter,#sobre o dia das mães ? passando com a minha família ?? link,oliveira et al,2023,0,0
twitter,nunca vou superar esse hino link,oliveira et al,2023,0,0
instagram,Nunca duvidei. E avisei demais,vargas et al,2021,0,0
twitter,"@user isso é inegável, mas o cano está com o desempenho melhor que o lil gabi",oliveira et al,2023,0,0
twitter,"NÃO USO ISSO GOSTO DO TÉTE A TÉTE, CHEGA ENCOCHANDO E CHAMANDO DE DELÍCIA, UM AMANTE A MODA ANTIGA  #JoaquinResponde ",fortuna et al,2019,1,1
twitter,é menos arriscado emprestar pra ucrânia do q para argentina. isso é trabalho de profissional. link,oliveira et al,2023,1,1
twitter,"""Eu não sei por que essa gente tem tanto amor por ONGs estrangeiras. O Estado está aparelhado. Não temos preconceito contra ninguém, mas temos uma profunda repulsa por quem não é brasileiro”. (Jair Bolsonaro, na sua passagem rápida e conflituosa pela Bahia)",leite et al,2020,0,0
twitter,ok acho q agora é o momento pra entrar no hustle mode,oliveira et al,2023,0,0
instagram,Maravilhosa Greta!!!,vargas et al,2021,0,0
twitter,"Aqui mostra a reação do Jimin quando o Jungkook lê o biscoitinho do ""Tudo bem se você não for o Nº1, você sempre será o melhor""

Muito fofo!!! A A A 💘
Suto com esse casal!

~Bacc

#jikook #kookmin #bts ",leite et al,2020,0,0
twitter,memória é sentimento,oliveira et al,2023,0,0
twitter,rt @user deixa eu foder tua boca? ,leite et al,2020,1,0
twitter,@user @user delicinha mulher,oliveira et al,2023,0,0
twitter,@user paulista ,leite et al,2020,0,0
twitter,rt @user ela me acha bonito quando eu me acho feio..,leite et al,2020,0,0
twitter,cara fdp 😠😠😠😠😠😠😠 matou garota de 6 muito bolado com isso😠😠😠😠😠 vai morrer lá dentro fdp 😠😠😠😠😠,leite et al,2020,1,1
twitter,fiquei um preocupada com esse vídeo,leite et al,2020,0,0
twitter,como é que faz quando nenhum dos dois é flor que cheiraaaaaa,leite et al,2020,0,0
twitter,"caralho mano eu queria saber ingles quando zerei gta iv pra saber umas coisas assim
",leite et al,2020,0,0
twitter,"a bibi soltou o famoso bufo nervoso , a marquise está a cheirar bue mal.",oliveira et al,2023,0,0
twitter,@user é gostoso jogar de manhã,oliveira et al,2023,0,0
twitter,@user não precisamos dele na mansão! já temos gente suficiente pra oferecer o entretenimento necessário!,oliveira et al,2023,0,0
twitter,"No centro, trânsito lento na Rua Pedro Ivo, desde a Rua João Negrão, nas proximidades do Terminal Guadalupe, até a Rua Barão do Rio Branco.",fortuna et al,2019,0,0
twitter,@user boa sorte nessa nova caminhada! 👏🏻,leite et al,2020,0,0
twitter,gremio e atlético mineiro,leite et al,2020,0,0
twitter,"Se voc锚 olhar para algu茅m e souber que est谩 pessoa 茅 o amor da sua vida voc锚 tem que segurar ela pelas m茫os firme, voc锚 n茫o pode deixar isto perder, voc锚 n茫o pode soltar as m茫os do seu amor t茫o facilmente",leite et al,2020,0,0
twitter,"quem tem inveja de ti, vive a espera de uma falha para ""ter razão"" ou ""ter motivos"" para criticar, pode até estar bem ou perfeito, mas a inveja ""ofusca tudo de bom"" para dar atenção a tudo que não está.????",oliveira et al,2023,0,0
twitter,"Se a Isabel Angelino continuar a rir tanto, o botox dela é que vai precisar dos 12 pontos
#FestivaldaCancao2017",fortuna et al,2019,0,0
twitter,"onde talarico quer fala de talaricagem, ond maconheiro se acha bandido, onde homofóbico come viado, onde piranha briga por homem dos outros, onde você faz A e o povo fala o abecedário todo, onde um tenta ser melhor q o outro sendo q ninguém é melhor q ninguém!!!!!!!!!!!!!!!!!!!!! ",leite et al,2020,1,1
instagram,Agora vaaai!!!👏👏👏,vargas et al,2021,0,0
twitter,@user infelizmente ele me obrigou a comprar esta skin,oliveira et al,2023,0,0
twitter,@user @user provou né seu tonto kkkkk,leite et al,2020,0,0
twitter,@user quando eu chegar em petrópolis tenho serviço pá tu,leite et al,2020,0,0
twitter,Grupo faz manifestação contra  Dep @user  em poços de Caldas. #GenteDesocupada ,fortuna et al,2019,0,0
twitter,"@user @user eu acho q vc só n consegue aceitar o fato do derek sentir atração pelo zé felipe, homofóbia isso",oliveira et al,2023,0,0
instagram,TD contra os pobres.,vargas et al,2021,0,0
twitter,rt @user pensei q era só eu q tinha esse ódio todo ,leite et al,2020,0,0
twitter,"@user aí que tá a vantagem dá igreja evangélica, ela é mais independente, não tem o sindicato do Vaticano..",fortuna et al,2019,0,0
twitter,"queria ter um melhor amigo (a)  pica 10/10 pra tudo, todo fim de semana gastando a onda. deve ser",leite et al,2020,0,0
twitter,"@user devo fazer essa semana,a铆 vc passa aqui em casaa",leite et al,2020,0,0
twitter,@user quer um ombro pra chorar best?,oliveira et al,2023,0,0
twitter,rt @user [3/8 12:35] : se ela n茫o fosse t茫o feia e vc t茫o bonita eu ia dizer que s茫o parecidas,leite et al,2020,1,1
twitter,"Sempre a somar aspectos positivos!
Pensa na linha de todos os partidos nacionalistas europeus. Excelente! _ ",fortuna et al,2019,0,0
twitter,esses sao os medo o sistema tem medo. pois o sistema monetario controla a sociedade. o bitcoin as liberta. link,oliveira et al,2023,0,0
twitter,@user @user que atrevido,oliveira et al,2023,0,0
twitter,"RT @user Depois deste jogo, não duvido de nada. Angola ganhava de 4x0 até os 80 minutos.
Angola 4X4 Mali (10/01/2010)   _",fortuna et al,2019,0,0
instagram,"@user podem me chamar na próxima vez q rolar esse encontro, ta?",vargas et al,2021,0,0
twitter,"minha m茫e ficou chateada pq a amiga dela n茫o vai mais poder vim, t么 triste agora",leite et al,2020,0,0
twitter,"Fato ocorrido em NOVA YORK, reduto DEMOCRATA onde Trump perdeu de lavada, mas o agressor era trumpista??!? Vocês sã _ ",fortuna et al,2019,0,0
instagram,Os cara tá pensando mais em dinheiro do que em Jesus a Bíblia fala desses falso profeta,vargas et al,2021,1,0
twitter,@user @user @user @user você pagou por que o ppi indicava que você deveria pagar esse preço. mas por que não baixaram gasolina. ela está trabalhando com preço acima desde abril.,oliveira et al,2023,0,0
twitter,"RT @user O @user não apenas me convidou para o camarote dele, como enviou uma passagem executiva da VASP NY-SP, com transfe _",fortuna et al,2019,0,0
twitter,pq so tem fancam do nct na tl? vou começar a dar block porra,leite et al,2020,0,0
twitter,"peguei uma gripe foda, espero q eu melhore at茅 s谩bado q vem",leite et al,2020,0,0
twitter,"ele não deve estar ligando muito né, pq todo dia tu posta esse mesmo lomotif",leite et al,2020,0,0
twitter,nao posso passar mal hj pqp,leite et al,2020,0,0
twitter,@user sou mto burro,leite et al,2020,0,0
twitter,@user @user xiiiiiiiii quem perdeu a picanha foi vc! foi buscar a abóbora e vai levar chuchunoku hahahahahaha looola tá depressivo pq não governa kkkkkkkkkkk perdeujumento link,oliveira et al,2023,0,0
twitter,que bobagem branca é essa????,leite et al,2020,0,0
twitter,@user chamo pra jogar sinuca,oliveira et al,2023,0,0
twitter,começou a tocar graduation,oliveira et al,2023,0,0
twitter,me quebrou kkkkkkkkkkkkk link,oliveira et al,2023,0,0
instagram,"Agora sim vale a pena, não aquele escroto do Lobão, @user",vargas et al,2021,1,0
twitter,o porra anuncia logo,leite et al,2020,0,0
twitter,tomei uma taça kkkjj ridícula,leite et al,2020,0,0
twitter,eu si divirto com esses viad*s do meu instagram pqpkkkkkkk,oliveira et al,2023,1,1
twitter,@user aql trem lá?,oliveira et al,2023,0,0
twitter,"PNR avança com candidatura à Câmara do Barreiro, com José Almeida e  @user ",fortuna et al,2019,0,0
twitter,"@user Wtfs kkaskk Parente da Norf porque amigao, é so porque meu filho é um psicopata que quando sente cheiro de sangue fica tao agrecivo que mata e destroi tudo no caminho so pra beber o sangue e sugar a vitalidade da vitima?",leite et al,2020,1,0
twitter,??????????????????????????????????? que homem link,oliveira et al,2023,0,0
instagram,#carnicadosinfernos ninca mais ! Já Já jaula de novo!🤮🤮🤮🤮 ovo na cara é pouco dessa quadrilha!,vargas et al,2021,1,0
twitter,"mano, que merda tá acontecendo comigo e com a luana caralho?!",leite et al,2020,0,0
twitter,@user realmente,oliveira et al,2023,0,0
twitter,frio da porra 🙁,leite et al,2020,0,0
twitter,"""Deus criou a mulher de uma costela, de um osso torto. Se procurares endireitá-la, quebrará. Tenham pois paciência c elas."" #MulherDeVerdade",fortuna et al,2019,1,1
instagram,Ah votei bolsonaro mas nao vou fica apaixonado nao blz,vargas et al,2021,0,0
twitter,essa desgraçada acertou a caralha da moeda no meio da minha testa,leite et al,2020,1,0
twitter,"""os funcionários mataram o menino no Habib's pq ele era negro e pobre""
Hahahahhaha como se os funcionários do Habib's fossem ricos",fortuna et al,2019,1,1
instagram,"Essa imprensa suja e nojenta, criminosa, estamos fartos disso.",vargas et al,2021,1,0
twitter,mds q odio n sei guardar surpresa fico querendo contar,oliveira et al,2023,0,0
twitter,"tá ridícula essa foto — isso é foto de trem bala, ja te falei ",leite et al,2020,0,0
instagram,O sul ja ta um lixo com o fascista do eduardo leite,vargas et al,2021,1,1
instagram,Filhos do Bolsonaro fiquem calados seus bunda mole.,vargas et al,2021,1,0
instagram,Professor vc sabe se apresenta diante os governantes mundiais Haddad presidente 2022 Lula livre já,vargas et al,2021,0,0
twitter,@user tomara mesmo,oliveira et al,2023,0,0
twitter,@user tao linda parece eu,leite et al,2020,0,0
twitter,"se o pessoal não fizesse questão de ir nesse show eu nem ia cara, ta me dando tanto estresse, quero nem ver no dia",leite et al,2020,0,0
twitter,"@user coisa linda nós mulheres sermos emponderadas, respeitadas,  valorizadas, encorajadas...mas precisa mesmo ficar pelada?",leite et al,2020,0,0
instagram,Certíssima ✋,vargas et al,2021,0,0
instagram,Estas pessoas que tratam esse verme Silvio Sanntos ccomo caduco no fundo pensam como ele.,vargas et al,2021,1,0
twitter,"@user @user escondia tb em apto. hj tá solto. essa esquerda adora soltar bandido, não sei por quê... ????",oliveira et al,2023,1,1
instagram,Ridicula,vargas et al,2021,1,0
twitter,lavando a louça na casa da sogra nesse frio do caraio em são bernardo. sou p casar,leite et al,2020,0,0
twitter,"@user @user @user @user porra , que ministro foda, tem de ficar uns 10 anos, vai asfaltar o atlantico",leite et al,2020,0,0
twitter,@user cafeína é uma droga ,leite et al,2020,0,0
twitter,essa noite não dormi nada direito. tinha que acordar 05:30 da manhã e foi só ladeira abaixo,oliveira et al,2023,0,0
twitter,rt @user um bom dia pra quem acordou com uma preguiça da porra!!!,leite et al,2020,0,0
twitter,@user eu te odeio forte,oliveira et al,2023,1,0
twitter,"segura teus b.o sozinho porra, não vai tentar fazer alguém a tua carga emocional 
que merda",leite et al,2020,0,0
twitter,"Emociona cada vez que temos os membros do governo atual realmente trabalhando e mostrando serviço.

Puta que pariu, vamos conseguir. Tá dando para acreditar. Que tesão.!",leite et al,2020,1,0
instagram,Parabéns grande mestre👏👏👏👏👏👏👏👏👏🌻,vargas et al,2021,0,0
twitter,"Sobre a contratação do Daniel Alves... Nesse futebol coletivo de hoje, sem muitos talentos individuais e sem quebras de marcação/falta de ousadia, mais vale um Sampaoli do que um Daniel Alves (se jogar de lateral, tá morto)...

#SextaDetremuraSDV",leite et al,2020,0,0
twitter,@user sertanejinho goxtosunnnnn,oliveira et al,2023,0,0
twitter,eu vejo esse vídeo e só consigo ficar rindo do frango mane kkkkkkkkkkkmkkkkkkk,leite et al,2020,1,0
instagram,"Não poderíamos esperar outra coisa destes bandidos , salafrários , ladrões",vargas et al,2021,1,0
twitter,"@user aaa sim, mas eu falo burro pelo jhonatan pq isso pode dar problema pra ele pq o acordo foi não expor a madah de nenhum jeito",leite et al,2020,0,0
twitter,"Encontrei um Insta esquerdista q faz apologia ao 贸dio,Fotos horr铆veis do Presi,e o pior de tudo imagens horr铆veis de Jesus, eu como Crist茫, Evang茅lica, Pentecostal fiquei indignada,fui e denunciei, + o insta disse q 帽 tem nada d+. Vou me candidatar pra lutar a favor dos Crist茫o馃槩",leite et al,2020,0,0
instagram,E só o começo 💩💩💩💩💩 misericórdia #elenao,vargas et al,2021,0,0
twitter,rt @user que inferno só no ceará em uns 5 sotaques diferentes ,leite et al,2020,0,0
twitter,@user @user Quando precisares cuidados públicos de saúde e estiver lá a tua querida gorda porque ela orgulha-se de ser gorda e linda e andam a usar todos os recursos para ela e tu tiveres um problema a serio e cagarem em ti depois fala-me 🤣,leite et al,2020,1,0
twitter,@user ok estrume.. qual o crime? nenhum? então vai tomar no teu cu arrombado,leite et al,2020,1,1
twitter,que azia do caralho,leite et al,2020,0,0
twitter,Pra quem perdeu o documentário #EuVocêTodasNós ao vivo no @user NÃO SE CHATEIE! Tá disponível aqui >> VEJA ,fortuna et al,2019,0,0
twitter,que vontade de beijar aquela boquinha desgraçada ,leite et al,2020,0,0
twitter,"só porque eu saio curtindo tudo que vejo quer dizer que sou retardada? uai, que que tem o coraçãozinho tá ali vou apertar nele kk",leite et al,2020,0,0
twitter,"não só as magras, como tem pessoas que se acham/são gordinhas e não se sentem bem com o próprio corpo, e eu entendo completamente, mas isso n quer dizer q eu tenha q achar meu corpo mil maravilhas pq eu n sou ""gorda""+",leite et al,2020,0,0
twitter,"por mim ficava o dia todo olhando aqueles olhos dela, o sorriso a pqp",leite et al,2020,0,0
twitter,voc锚 abandono fazer oque 馃し鈥嶁檧锔�,leite et al,2020,0,0
twitter,PS: TROCO POR UM CRENTE! PAGO A DIFERENÇA!!!!,fortuna et al,2019,0,0
twitter,só lembro do menino que apertou o beck e o amigo deixou cair na lama kkkkkkkkkkkk ele ficou muito puto cara,leite et al,2020,0,0
twitter,"@user @user mesma coisa aq, foda viu",oliveira et al,2023,1,0
twitter,filha duma puta link link,oliveira et al,2023,1,1
twitter,"Aviso importante sobre Domingo dia 04/08/2019. 
❌ Não abriremos!

✅ Retornaremos às atividades na terça-feira dia 06/08/2019.

#willbebidas #taubate #tremembe #pindamonhangaba #bar #lougebar #lifestyle em WILL Bebidas ",leite et al,2020,0,0
twitter,tô bem hj n,oliveira et al,2023,0,0
twitter,@user @user mas eu duvido que ela seja vp tendo tanto tempo atoa pra estar viajando pra lá e pra cá e fazendo todo o trabalho remotamente sem ao menos comparecer pessoalmente em uma reunião ou qualquer outra compromisso da empresa .,oliveira et al,2023,0,0
twitter,"@user @user eu q do risada de vc, cuidado p n ser o novo bi rebaixado de sp hein",leite et al,2020,1,1
instagram,Sem noção! Ministério público tira esse idiota do ar...,vargas et al,2021,1,0
twitter,"sempre rola uns soco &amp; tapa sem-querer nessas comemorações de medalhas né, eu amo",leite et al,2020,0,0
twitter,"rt @user ⚛ a verdade é  heroína! ela sempre vence, porém, o problema são os estragos antes da vitória . ",leite et al,2020,0,0
instagram,Poderia ter evitado essa vergonha se não aceitasse a cartilha da Globo a qualquer custo desmoralizar o governo. Bem feito!!!,vargas et al,2021,1,0
twitter,Mulher é um parque de diversões. A começar pelo humor: uma montanha-russa.,fortuna et al,2019,1,1
twitter,o evento é daqui a dois meses eu já projeto minha roupa,oliveira et al,2023,0,0
twitter,"eu apenas desmascarei os teus argumentos, cara! ",fortuna et al,2019,0,0
twitter,rt @user nao é porque você detesta stalin que é obrigado a gostar de hitler,leite et al,2020,0,0
twitter,rt @user queria um final de semana assim com os amigos ,leite et al,2020,0,0
twitter,"@user tudo tão lindo, é quase impossível não chorar",leite et al,2020,0,0
twitter,"RT @user Tem gente preocupada com vírgula, ñ com a imoralidade.Engolem camelo e se engasgam como mosquito.HIPÓCRITA! MEDÍOCRE!",fortuna et al,2019,0,0
twitter,toda vez que turno beijo acaba em sexo ?? link,oliveira et al,2023,0,0
twitter,"@user mas de fato existe o hacker então, não é mesmo? ou só porque não é russo tá liberado hacker celulares e vazar mensagens?",leite et al,2020,0,0
twitter,sem palavras p descrever o quão feia estou me sentindo,leite et al,2020,0,0
twitter,paraíba do dindo .. 👏👊,leite et al,2020,0,0
instagram,"Aos idiotas, O SILÊNCIO!",vargas et al,2021,1,0
twitter,@user e caf茅 茅 o que?,leite et al,2020,0,0
twitter,fico imaginando essa porra de país daqui 5 anos e não vejo nenhuma perspectiva de futuro pra mim,leite et al,2020,0,0
instagram,"Se ela fala merda porque, vcs minions , ainda param pra ouvir ? O presidente de vcs é um poço de sabedoria né ?!",vargas et al,2021,1,1
twitter,bglh é chupa buceta em pé,leite et al,2020,1,0
twitter,@user traduzindo= piranha/ galinha,leite et al,2020,1,1
twitter,"""pau pra toda obra"" kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk Tirei Sua alma gêmea é de Touro, Virgem ou Capricórnio! ",leite et al,2020,0,0
twitter,"@user o nazismo chegou ao brasil, se povo pobre não fizer uma revolução e tirar esses vermes na porrada o país vai acabar",leite et al,2020,1,1
twitter,caralho que ódio dessa nubank,oliveira et al,2023,0,0
twitter,"@user idiota vc não sabe interpretar? ah desculpa, não sabe mesmo. “ essa gente” imbecil",leite et al,2020,1,1
twitter,"o dama e a beca são as pessoas mais fofas do mundo
amo demais esses dois pqp",leite et al,2020,0,0
twitter,cara o áudio da sofia chorando pq queria comer sushi pqp kkkkkkkk,leite et al,2020,0,0
instagram,Judeu dos infernos 🔥,vargas et al,2021,1,1
instagram,Kkkkk agradeço a Deus pelo livramento de ter Haddad como PRESIDENTE,vargas et al,2021,1,0
twitter,@user vai toma no seu cu !,leite et al,2020,1,0
twitter,hoje eu to so a rihanna na era sapatao,fortuna et al,2019,1,1
twitter,@user tem gente que não vai dormir essa noite... ,leite et al,2020,0,0
instagram,Estamos vendo que 💩 é a TIME afinal só olhar o dono. E como boa puxa saco de editor acha justo...precisa conhecer @user e entender o que é relevância de PERSONALIDADE EM MEIO AMBIENTE MUNDIAL!,vargas et al,2021,1,0
twitter,"eu com 22 anos já fiz preenchimento facial kkkkkkkkkkkkk imagina se eu tivesse dinheiro, eu ja seria o novo ken humano, porra",leite et al,2020,0,0
twitter,@user pra citar seu idiota,leite et al,2020,1,1
twitter,"que dia cansativo, e não passou nem da metade link",oliveira et al,2023,0,0
instagram,Mete bala nesses bandidos !,vargas et al,2021,1,0
twitter,alguém tem aquele vídeo de chansoo brincando com aquele negócio verde e o negócio verde vira um pau?,leite et al,2020,0,0
twitter,@user @user @user esse ku seco ninguém quer,oliveira et al,2023,1,1
twitter,"RT @user Concluindo: No fundo, a Disney só quer mais audiência, competição tá dura. Na minha família isso já não se assiste http _",fortuna et al,2019,0,0
twitter,@user obrigada ??,oliveira et al,2023,0,0
twitter,morrendo com os memes da Nana Gouvêa uhahuahuahuahua ,fortuna et al,2019,0,0
twitter,"afff que ódio, q raiva",oliveira et al,2023,0,0
twitter,benficaaaaaaaaaaaaaaaaaaaaaaa link link,oliveira et al,2023,0,0
twitter,bro eu ja queria ter chegado na dm de tanta gente da tl pra amigar mas sei que não vou conseguir manter uma conversa sem dizer o quanto eu quero dar furiosamente pro jongin,leite et al,2020,0,0
twitter,dear white people me deu um puta murrão na cara,leite et al,2020,0,0
twitter,se nós viemos dos macacos pq ainda existem macacos??? isso a ciência nao explica,fortuna et al,2019,0,0
twitter,mano meu twitter bugou e apagou minha foto com o goblin slayer caralho to triste demais vo chora,leite et al,2020,1,0
instagram,Desgracados ! Como alguém vota num bando desse?,vargas et al,2021,1,0
twitter,puts você é gato p caralho,leite et al,2020,0,0
twitter,essa porra desse antidepressivo ta fudendo com o meu estômago q odio,oliveira et al,2023,1,0
twitter,@user @user inacreditável a cara de pau que a betano tem em anular tudo e qualquer tipo de aposta pelo simples fato de não saber precificar ou oferecer aumentos em qualquer esportes ou apostas. fica aí mais uma vez a canalhice e cara de pau dessa casa completamente sem noção.,oliveira et al,2023,0,0
twitter,"@user ""parece""",leite et al,2020,0,0
twitter,dream eu te imploroooo link,oliveira et al,2023,0,0
twitter,v茅i quem 茅 que esquece mochila p viajar??????? 茅 igual ir p festa e esquecer ingresso mkkkkkkkk,leite et al,2020,0,0
twitter,@user parabéns tá muito ruim ,leite et al,2020,0,0
twitter,pensava q essa cena de n se sentirem minimamente atraídas por raparigas mas no entanto quererem entrar no mundo das fufas já n era moda,fortuna et al,2019,1,1
twitter,@user vem para o flamengo caraio larga essa porra d europa,leite et al,2020,0,0
twitter,@user @user hum ok nn consegue ficar sem falar cmg eu entendo,leite et al,2020,0,0
twitter,gabriel doido pra tretar com a guria do stts dele pqp,leite et al,2020,0,0
twitter,LUAN SANTANA É ELEITO O NOVO PAPA  #ParabensLuanSantana #HabemusPapam #ChupaBrasil,fortuna et al,2019,0,0
twitter,quando eu n茫o tenho onde ir com o @user,leite et al,2020,0,0
twitter,to fudido,leite et al,2020,0,0
twitter,vou ficar um nojo c essa camisa do fla pqp,leite et al,2020,0,0
twitter,"rt @user qualquer sinal de estresse:a 

meus hormônios: bora encher de espinha nessa porra",leite et al,2020,1,0
instagram,"Esse merda vai inaugurar obras que ele jamais faria pela incompetência, está inaugurando obras que ele nem participou e ao invés de saudar, só fala merda. Horrivel esse escroto",vargas et al,2021,1,0
twitter,"shawn só recebe mais biscoito porque faz pop e o harry não, se o harry fosse pro pop baladinha também o mundo inteiro lambia o cu dele igual lambem o do shawn assim como lambiam quando ele era da one direction kkkk agora falar que ele é mais talentoso que o shawn KKKK",leite et al,2020,1,0
twitter,"@user @user Decisão acertada. No RJ a Ancine só fez lixo. E se fosse pra ser diferente, N teria vários grupos no RJ, Porta dos fundos e Parafernalha, podruzindo tanto lixo. 

#STFVergonhaNascional",leite et al,2020,1,1
twitter,"bixo, realmente o n铆vel de ignor芒ncia desses pol铆ticos 2k19 ta incr铆vel",leite et al,2020,0,0
twitter,rt @user o maior sinal de carinho e respeito q pode se dar a alguém!!! ,leite et al,2020,0,0
twitter,eu tento parar de comentar sobre ela e ela me vem com essa ,leite et al,2020,0,0
twitter,@user o que essa palhaça de cara pintada ta fazendo capa! Elas não representam a mulher brasileira!  Vaza F _ ,fortuna et al,2019,0,0
twitter,"apesento-lhes novo recurso muito usado na internet hj em dia
 I R O N I A  ",fortuna et al,2019,0,0
